level_id,mode,success,nodes,runtime,solution_len,calls_total,calls_uncached,deadlock_hits,comparable_states,hungarian_lt_gnn,hungarian_eq_gnn,gnn_lt_hungarian
sokoban_core/levels/boxoban/medium/train/199.txt#730,speed,True,8,0.028976917266845703,8,53,53,0,53,49,1,3
sokoban_core/levels/boxoban/medium/train/130.txt#522,speed,True,249,0.3591639995574951,15,861,853,126,727,711,1,15
sokoban_core/levels/boxoban/medium/train/335.txt#778,speed,True,20,0.0848379135131836,20,182,182,27,155,147,0,8
sokoban_core/levels/boxoban/medium/train/379.txt#357,speed,True,29,0.06457781791687012,11,149,149,33,116,110,1,5
sokoban_core/levels/boxoban/medium/train/349.txt#453,speed,True,13,0.026915788650512695,13,55,55,11,44,42,1,1
sokoban_core/levels/boxoban/medium/train/008.txt#834,speed,True,221,0.1916341781616211,17,527,527,59,468,464,1,3
sokoban_core/levels/boxoban/medium/train/176.txt#901,speed,True,228,0.2812669277191162,17,866,840,157,683,637,1,45
sokoban_core/levels/boxoban/medium/train/407.txt#98,speed,True,843,0.6694722175598145,25,2121,2121,641,1480,1450,1,29
sokoban_core/levels/boxoban/medium/train/004.txt#645,speed,True,55,0.03898310661315918,16,129,129,39,90,87,1,2
sokoban_core/levels/boxoban/medium/train/004.txt#15,speed,True,112,0.24511098861694336,19,613,613,55,558,518,1,39
sokoban_core/levels/boxoban/medium/train/378.txt#14,speed,True,13,0.037902116775512695,11,93,93,24,69,66,1,2
sokoban_core/levels/boxoban/medium/train/222.txt#957,speed,True,29,0.09019303321838379,22,232,232,25,207,200,1,6
sokoban_core/levels/boxoban/medium/train/008.txt#983,speed,True,115,0.0859677791595459,17,292,292,75,217,210,1,6
sokoban_core/levels/boxoban/medium/train/250.txt#650,speed,True,41,0.09296917915344238,18,241,241,36,205,200,1,4
sokoban_core/levels/boxoban/medium/valid/025.txt#444,speed,True,46,0.1332871913909912,15,304,304,39,265,262,0,3
sokoban_core/levels/boxoban/medium/train/266.txt#430,speed,True,51,0.08374571800231934,20,226,226,62,164,153,1,10
sokoban_core/levels/boxoban/medium/train/409.txt#426,speed,True,39,0.09842801094055176,16,248,248,55,193,147,1,45
sokoban_core/levels/boxoban/medium/train/327.txt#645,speed,True,80,0.0815122127532959,16,236,236,38,198,196,1,1
sokoban_core/levels/boxoban/medium/train/023.txt#136,speed,True,27,0.07476282119750977,17,218,218,75,143,133,2,8
sokoban_core/levels/boxoban/medium/train/169.txt#813,speed,True,223,0.20830798149108887,18,685,685,191,494,492,1,1
sokoban_core/levels/boxoban/medium/train/119.txt#417,speed,True,149,0.1963498592376709,12,599,574,95,479,450,2,27
sokoban_core/levels/boxoban/medium/train/228.txt#839,speed,True,57,0.08787202835083008,10,225,225,40,185,172,1,12
sokoban_core/levels/boxoban/medium/train/026.txt#659,speed,True,66,0.16296696662902832,23,420,420,57,363,332,1,30
sokoban_core/levels/boxoban/medium/train/353.txt#338,speed,True,1925,4.721532821655273,25,10101,9944,1443,8501,8477,0,24
sokoban_core/levels/boxoban/medium/train/381.txt#803,speed,True,18,0.023513078689575195,12,78,78,35,43,39,1,3
sokoban_core/levels/boxoban/medium/train/375.txt#132,speed,True,11,0.02728891372680664,9,47,47,2,45,36,1,8
sokoban_core/levels/boxoban/medium/train/221.txt#690,speed,True,171,0.14791011810302734,14,512,505,131,374,353,2,19
sokoban_core/levels/boxoban/medium/train/105.txt#803,speed,True,41,0.06099510192871094,20,207,207,71,136,132,1,3
sokoban_core/levels/boxoban/medium/train/107.txt#521,speed,True,7,0.020644187927246094,7,53,53,15,38,34,1,3
sokoban_core/levels/boxoban/medium/train/305.txt#426,speed,True,104,0.08760404586791992,20,211,211,37,174,168,1,5
sokoban_core/levels/boxoban/medium/train/327.txt#55,speed,True,14,0.024947166442871094,10,50,50,6,44,35,1,8
sokoban_core/levels/boxoban/medium/train/372.txt#975,speed,True,44,0.08072805404663086,15,220,220,43,177,170,1,6
sokoban_core/levels/boxoban/medium/train/413.txt#158,speed,True,919,1.1247591972351074,27,2740,2682,356,2326,2278,1,47
sokoban_core/levels/boxoban/medium/train/114.txt#979,speed,True,1151,1.4396212100982666,18,3695,3695,555,3140,3118,1,21
sokoban_core/levels/boxoban/medium/train/136.txt#355,speed,True,20,0.02400803565979004,16,63,63,23,40,23,1,16
sokoban_core/levels/boxoban/medium/train/136.txt#855,speed,True,18,0.03130698204040527,14,86,86,24,62,56,1,5
sokoban_core/levels/boxoban/medium/train/182.txt#470,speed,True,34,0.07290792465209961,15,191,191,36,155,153,1,1
sokoban_core/levels/boxoban/medium/train/187.txt#296,speed,True,13,0.03311491012573242,13,56,56,6,50,45,1,4
sokoban_core/levels/boxoban/medium/train/043.txt#164,speed,True,158,0.1529860496520996,15,462,459,84,375,372,1,2
sokoban_core/levels/boxoban/medium/train/115.txt#861,speed,True,11,0.0332331657409668,9,79,79,6,73,66,2,5
sokoban_core/levels/boxoban/medium/train/069.txt#998,speed,True,33,0.0664219856262207,22,179,179,41,138,136,1,1
sokoban_core/levels/boxoban/medium/train/112.txt#96,speed,True,7,0.01397705078125,6,28,28,12,16,14,0,2
sokoban_core/levels/boxoban/medium/train/438.txt#568,speed,True,16,0.027721881866455078,13,67,67,15,52,32,2,18
sokoban_core/levels/boxoban/medium/train/422.txt#55,speed,True,10,0.030392169952392578,9,66,66,7,59,56,1,2
sokoban_core/levels/boxoban/medium/train/140.txt#572,speed,True,57,0.08086895942687988,18,241,241,60,181,175,0,6
sokoban_core/levels/boxoban/medium/train/340.txt#647,speed,True,63,0.1391770839691162,20,343,343,62,281,274,0,7
sokoban_core/levels/boxoban/medium/train/314.txt#57,speed,True,166,0.18612408638000488,17,603,586,119,467,461,1,5
sokoban_core/levels/boxoban/medium/train/085.txt#666,speed,True,178,0.17788410186767578,19,501,494,83,411,407,1,3
sokoban_core/levels/boxoban/medium/train/199.txt#888,speed,True,108,0.12905621528625488,16,380,380,97,283,279,1,3
sokoban_core/levels/boxoban/medium/train/097.txt#746,speed,True,20,0.05966806411743164,14,131,131,12,119,106,1,12
sokoban_core/levels/boxoban/medium/train/162.txt#271,speed,True,27,0.041426897048950195,7,80,80,6,74,44,2,28
sokoban_core/levels/boxoban/medium/train/252.txt#88,speed,True,302,0.19574975967407227,18,573,573,87,486,461,1,24
sokoban_core/levels/boxoban/medium/valid/033.txt#630,speed,True,53,0.08075594902038574,15,215,215,19,196,191,1,4
sokoban_core/levels/boxoban/medium/train/049.txt#270,speed,True,95,0.13229608535766602,14,408,408,129,279,274,1,4
sokoban_core/levels/boxoban/medium/train/343.txt#556,speed,True,21,0.032011985778808594,13,88,88,32,56,30,1,25
sokoban_core/levels/boxoban/medium/train/167.txt#163,speed,True,545,0.41675901412963867,22,1325,1213,216,997,992,1,4
sokoban_core/levels/boxoban/medium/train/129.txt#98,speed,True,58,0.09682083129882812,17,261,261,49,212,164,2,46
sokoban_core/levels/boxoban/medium/train/148.txt#183,speed,True,22,0.041497230529785156,20,99,99,22,77,71,1,5
sokoban_core/levels/boxoban/medium/train/041.txt#733,speed,True,28,0.06713294982910156,17,178,178,31,147,139,1,7
sokoban_core/levels/boxoban/medium/train/417.txt#122,speed,True,6,0.02087712287902832,6,54,54,16,38,33,1,4
sokoban_core/levels/boxoban/medium/train/119.txt#674,speed,True,290,0.2195446491241455,20,666,666,169,497,444,1,52
sokoban_core/levels/boxoban/medium/train/197.txt#542,speed,True,41,0.10147500038146973,12,185,185,15,170,134,1,35
sokoban_core/levels/boxoban/medium/train/089.txt#611,speed,True,32,0.030241966247558594,10,91,91,21,70,66,2,2
sokoban_core/levels/boxoban/medium/train/320.txt#774,speed,True,3127,2.209728956222534,20,6829,6506,1821,4685,4640,1,44
sokoban_core/levels/boxoban/medium/train/287.txt#331,speed,True,11,0.0258791446685791,7,54,54,6,48,38,1,9
sokoban_core/levels/boxoban/medium/train/038.txt#996,speed,True,75,0.07925200462341309,17,256,256,53,203,175,1,27
sokoban_core/levels/boxoban/medium/train/401.txt#523,speed,True,593,0.6866869926452637,28,1784,1784,277,1507,1399,1,107
sokoban_core/levels/boxoban/medium/train/227.txt#801,speed,True,21,0.032663822174072266,12,89,89,24,65,64,1,0
sokoban_core/levels/boxoban/medium/train/202.txt#798,speed,True,47,0.08458495140075684,16,224,224,44,180,175,1,4
sokoban_core/levels/boxoban/medium/train/348.txt#261,speed,True,360,0.40566015243530273,24,918,918,41,877,660,1,216
sokoban_core/levels/boxoban/medium/train/206.txt#273,speed,True,51,0.11295890808105469,16,293,293,92,201,197,1,3
sokoban_core/levels/boxoban/medium/valid/006.txt#794,speed,True,15,0.0552821159362793,11,100,100,14,86,77,2,7
sokoban_core/levels/boxoban/medium/train/148.txt#218,speed,True,66,0.08663487434387207,15,219,219,51,168,131,1,36
sokoban_core/levels/boxoban/medium/train/263.txt#51,speed,True,619,0.6746730804443359,16,1641,1641,321,1320,1176,1,143
sokoban_core/levels/boxoban/medium/train/261.txt#759,speed,True,549,0.4728281497955322,16,1118,1049,136,913,893,1,19
sokoban_core/levels/boxoban/medium/valid/006.txt#783,speed,True,15,0.022782087326049805,12,42,42,0,42,33,1,8
sokoban_core/levels/boxoban/medium/train/168.txt#966,speed,True,29,0.0717313289642334,15,163,163,20,143,131,1,11
sokoban_core/levels/boxoban/medium/train/059.txt#688,speed,True,60,0.1986067295074463,18,370,370,43,327,305,1,21
sokoban_core/levels/boxoban/medium/train/008.txt#72,speed,True,999,0.7194092273712158,21,1928,1889,439,1450,1421,1,28
sokoban_core/levels/boxoban/medium/train/398.txt#153,speed,True,199,0.18865489959716797,19,433,432,116,316,300,1,15
sokoban_core/levels/boxoban/medium/train/434.txt#227,speed,True,66,0.11478209495544434,11,289,289,43,246,235,1,10
sokoban_core/levels/boxoban/medium/train/351.txt#351,speed,True,3176,2.1399049758911133,42,6611,6546,2039,4507,4494,2,11
sokoban_core/levels/boxoban/medium/train/047.txt#360,speed,True,129,0.148101806640625,14,460,459,127,332,304,1,27
sokoban_core/levels/boxoban/medium/train/344.txt#475,speed,True,19,0.03080582618713379,12,59,59,7,52,49,1,2
sokoban_core/levels/boxoban/medium/train/277.txt#284,speed,True,8,0.021188020706176758,8,34,34,0,34,29,1,4
sokoban_core/levels/boxoban/medium/train/137.txt#444,speed,True,61,0.06178569793701172,14,176,173,50,123,71,0,52
sokoban_core/levels/boxoban/medium/valid/017.txt#561,speed,True,80,0.10109686851501465,18,324,324,106,218,215,1,2
sokoban_core/levels/boxoban/medium/train/091.txt#461,speed,True,108,0.0718231201171875,20,164,164,42,122,108,1,13
sokoban_core/levels/boxoban/medium/train/371.txt#436,speed,True,41,0.08737897872924805,14,271,271,50,221,181,3,37
sokoban_core/levels/boxoban/medium/train/179.txt#588,speed,True,439,0.9272379875183105,18,1900,1898,289,1609,1441,2,166
sokoban_core/levels/boxoban/medium/train/117.txt#557,speed,True,12,0.038845062255859375,10,66,66,10,56,46,1,9
sokoban_core/levels/boxoban/medium/train/388.txt#284,speed,True,851,0.7752408981323242,22,2333,2176,503,1673,1659,2,12
sokoban_core/levels/boxoban/medium/train/179.txt#561,speed,True,414,0.3412339687347412,18,849,846,211,635,625,1,9
sokoban_core/levels/boxoban/medium/train/182.txt#737,speed,True,65,0.19356179237365723,20,410,410,51,359,341,2,16
sokoban_core/levels/boxoban/medium/train/069.txt#364,speed,True,21,0.04995107650756836,18,122,122,11,111,100,1,10
sokoban_core/levels/boxoban/medium/train/228.txt#221,speed,True,95,0.27297210693359375,29,641,641,100,541,526,1,14
sokoban_core/levels/boxoban/medium/train/020.txt#660,speed,True,10,0.039678096771240234,10,77,77,9,68,65,1,2
sokoban_core/levels/boxoban/medium/train/031.txt#833,speed,True,522,0.3465240001678467,15,1219,1206,335,871,861,1,9
sokoban_core/levels/boxoban/medium/train/433.txt#62,speed,True,21,0.0625760555267334,13,152,152,30,122,109,2,11
sokoban_core/levels/boxoban/medium/valid/030.txt#972,speed,True,303,0.29251790046691895,16,945,938,200,738,670,2,66
sokoban_core/levels/boxoban/medium/valid/017.txt#495,speed,True,125,0.15690898895263672,21,451,441,66,375,351,1,23
sokoban_core/levels/boxoban/medium/train/239.txt#759,speed,True,34,0.06067824363708496,14,158,158,33,125,99,1,25
sokoban_core/levels/boxoban/medium/train/350.txt#157,speed,True,249,0.18298101425170898,21,623,597,239,358,345,1,12
sokoban_core/levels/boxoban/medium/train/242.txt#910,speed,True,9,0.03347206115722656,9,77,77,10,67,63,1,3
sokoban_core/levels/boxoban/medium/train/360.txt#116,speed,True,20,0.027682065963745117,14,82,82,33,49,45,1,3
sokoban_core/levels/boxoban/medium/train/298.txt#595,speed,True,67,0.07143712043762207,13,208,208,48,160,139,1,20
sokoban_core/levels/boxoban/medium/train/376.txt#138,speed,True,53,0.0958409309387207,19,260,260,51,209,183,3,23
sokoban_core/levels/boxoban/medium/train/260.txt#858,speed,True,39,0.1052238941192627,15,261,261,43,218,206,1,11
sokoban_core/levels/boxoban/medium/train/319.txt#279,speed,True,123,0.14461898803710938,16,327,327,37,290,278,1,11
sokoban_core/levels/boxoban/medium/train/162.txt#856,speed,True,79,0.09888410568237305,16,267,267,12,255,208,1,46
sokoban_core/levels/boxoban/medium/train/433.txt#854,speed,True,101,0.1392807960510254,14,365,365,57,308,302,1,5
sokoban_core/levels/boxoban/medium/train/185.txt#445,speed,True,10,0.022970914840698242,9,52,52,15,37,36,1,0
sokoban_core/levels/boxoban/medium/train/213.txt#969,speed,True,1290,1.1251509189605713,18,2863,2714,331,2383,2325,1,57
sokoban_core/levels/boxoban/medium/train/429.txt#847,speed,True,82,0.16108489036560059,13,422,422,89,333,238,3,92
sokoban_core/levels/boxoban/medium/train/384.txt#743,speed,True,178,0.10598897933959961,15,358,354,90,264,248,1,15
sokoban_core/levels/boxoban/medium/train/446.txt#791,speed,True,28,0.05466413497924805,15,124,124,11,113,95,2,16
sokoban_core/levels/boxoban/medium/train/408.txt#913,speed,True,21,0.058923959732055664,11,164,164,35,129,105,2,22
sokoban_core/levels/boxoban/medium/train/128.txt#845,speed,True,76,0.08802676200866699,22,304,304,112,192,186,1,5
sokoban_core/levels/boxoban/medium/train/021.txt#615,speed,True,213,0.4644937515258789,19,1316,1316,320,996,995,0,1
sokoban_core/levels/boxoban/medium/train/217.txt#48,speed,True,33,0.06724810600280762,18,160,160,22,138,105,2,31
sokoban_core/levels/boxoban/medium/train/167.txt#559,speed,True,68,0.11721515655517578,13,311,306,58,248,234,1,13
sokoban_core/levels/boxoban/medium/valid/040.txt#726,speed,True,39,0.05293416976928711,8,147,147,29,118,116,1,1
sokoban_core/levels/boxoban/medium/train/067.txt#54,speed,True,18,0.041433095932006836,13,91,91,19,72,69,1,2
sokoban_core/levels/boxoban/medium/train/376.txt#93,speed,True,18,0.09648609161376953,13,175,175,14,161,149,1,11
sokoban_core/levels/boxoban/medium/train/382.txt#486,speed,True,57,0.10662221908569336,16,206,206,30,176,166,1,9
sokoban_core/levels/boxoban/medium/train/005.txt#280,speed,True,304,0.32816290855407715,22,814,804,179,625,617,1,7
sokoban_core/levels/boxoban/medium/train/011.txt#456,speed,True,85,0.16808128356933594,22,399,399,31,368,348,1,19
sokoban_core/levels/boxoban/medium/train/066.txt#634,speed,True,306,0.3441910743713379,27,1009,1009,305,704,680,1,23
sokoban_core/levels/boxoban/medium/train/196.txt#365,speed,True,286,0.5457890033721924,13,1225,1225,101,1124,744,3,377
sokoban_core/levels/boxoban/medium/train/120.txt#762,speed,True,102,0.298537015914917,31,808,766,140,626,610,1,15
sokoban_core/levels/boxoban/medium/valid/037.txt#473,speed,True,1201,1.0031931400299072,20,3168,2909,649,2260,2233,1,26
sokoban_core/levels/boxoban/medium/train/243.txt#203,speed,True,43,0.08017611503601074,11,221,221,36,185,182,0,3
sokoban_core/levels/boxoban/medium/train/132.txt#583,speed,True,24,0.05262303352355957,14,129,129,10,119,102,2,15
