level_id,mode,success,nodes,runtime,solution_len,calls_total,calls_uncached,deadlock_hits,comparable_states,hungarian_lt_gnn,hungarian_eq_gnn,gnn_lt_hungarian
sokoban_core/levels/boxoban/medium/train/234.txt#922,optimal_mix,True,11875,7.101496696472168,23,20230,20230,5032,15198,15181,3,14
sokoban_core/levels/boxoban/medium/train/378.txt#14,optimal_mix,True,262,0.3569629192352295,11,1067,1067,257,810,789,2,19
sokoban_core/levels/boxoban/medium/train/222.txt#957,optimal_mix,True,3836,3.7081239223480225,20,10476,10466,1800,8666,8565,3,98
sokoban_core/levels/boxoban/medium/train/008.txt#983,optimal_mix,True,973,0.450314998626709,17,1671,1671,521,1150,1133,2,15
sokoban_core/levels/boxoban/medium/train/004.txt#15,optimal_mix,True,5659,5.372021198272705,19,14384,14381,3223,11158,11005,2,151
sokoban_core/levels/boxoban/medium/train/335.txt#778,optimal_mix,True,8258,9.50940203666687,20,21804,21804,4171,17633,17606,0,27
sokoban_core/levels/boxoban/medium/train/266.txt#430,optimal_mix,True,351,0.44238781929016113,16,1247,1247,258,989,953,4,32
sokoban_core/levels/boxoban/medium/train/406.txt#900,optimal_mix,True,26906,17.2414391040802,26,44299,44298,10846,33452,33150,2,300
sokoban_core/levels/boxoban/medium/train/409.txt#426,optimal_mix,True,297,0.4131929874420166,16,1226,1226,318,908,824,1,83
sokoban_core/levels/boxoban/medium/train/327.txt#645,optimal_mix,True,286,0.18030118942260742,16,556,556,132,424,422,1,1
sokoban_core/levels/boxoban/medium/train/320.txt#774,optimal_mix,True,7426,4.619645833969116,20,13415,13415,3734,9681,9622,3,56
sokoban_core/levels/boxoban/medium/valid/025.txt#444,optimal_mix,True,4815,4.645932197570801,15,11375,11375,2484,8891,8807,0,84
sokoban_core/levels/boxoban/medium/train/169.txt#813,optimal_mix,True,2827,1.5282790660858154,18,4537,4537,986,3551,3533,3,15
sokoban_core/levels/boxoban/medium/train/228.txt#839,optimal_mix,True,230,0.2373218536376953,10,631,631,111,520,505,1,14
sokoban_core/levels/boxoban/medium/train/023.txt#136,optimal_mix,True,876,1.1115026473999023,17,3045,3045,831,2214,2181,1,32
sokoban_core/levels/boxoban/medium/train/381.txt#803,optimal_mix,True,91,0.0498807430267334,12,213,213,103,110,106,1,3
sokoban_core/levels/boxoban/medium/train/250.txt#650,optimal_mix,True,7546,4.8242950439453125,18,14003,14003,3707,10296,10259,2,35
sokoban_core/levels/boxoban/medium/train/375.txt#132,optimal_mix,True,48,0.0829019546508789,9,195,195,18,177,153,3,21
sokoban_core/levels/boxoban/medium/train/119.txt#417,optimal_mix,True,1587,1.3416681289672852,12,3919,3916,812,3104,3062,3,39
sokoban_core/levels/boxoban/medium/train/221.txt#690,optimal_mix,True,2198,1.1174819469451904,14,3892,3890,1196,2694,2661,2,31
sokoban_core/levels/boxoban/medium/train/372.txt#975,optimal_mix,True,789,0.6806509494781494,15,1923,1923,343,1580,1544,2,34
sokoban_core/levels/boxoban/medium/train/107.txt#521,optimal_mix,True,106,0.10811495780944824,7,423,423,121,302,276,3,23
sokoban_core/levels/boxoban/medium/train/327.txt#55,optimal_mix,True,87,0.07576823234558105,10,235,235,56,179,161,1,17
sokoban_core/levels/boxoban/medium/train/305.txt#426,optimal_mix,True,1524,1.0200421810150146,20,2729,2729,501,2228,2187,2,39
sokoban_core/levels/boxoban/medium/train/136.txt#355,optimal_mix,True,66,0.0885610580444336,16,251,251,63,188,148,1,39
sokoban_core/levels/boxoban/medium/train/105.txt#803,optimal_mix,True,2192,1.309234857559204,20,4062,4062,1110,2952,2929,1,22
sokoban_core/levels/boxoban/medium/train/043.txt#164,optimal_mix,True,872,0.5370650291442871,15,1528,1528,252,1276,1270,1,5
sokoban_core/levels/boxoban/medium/train/187.txt#296,optimal_mix,True,75,0.10771512985229492,13,235,235,21,214,203,1,10
sokoban_core/levels/boxoban/medium/train/136.txt#855,optimal_mix,True,1512,1.018418788909912,14,3069,3069,794,2275,2251,2,22
sokoban_core/levels/boxoban/medium/train/115.txt#861,optimal_mix,True,42,0.10155415534973145,9,267,267,23,244,220,3,21
sokoban_core/levels/boxoban/medium/train/112.txt#96,optimal_mix,True,18,0.021905899047851562,6,54,54,20,34,24,0,10
sokoban_core/levels/boxoban/medium/train/069.txt#998,optimal_mix,True,1438,1.4166100025177002,20,3576,3572,562,3010,3009,1,0
sokoban_core/levels/boxoban/medium/train/026.txt#659,optimal_mix,True,4212,4.4744179248809814,21,11946,11937,2718,9219,9169,2,48
sokoban_core/levels/boxoban/medium/train/438.txt#568,optimal_mix,True,62,0.0760490894317627,13,226,226,60,166,121,2,43
sokoban_core/levels/boxoban/medium/train/182.txt#470,optimal_mix,True,3608,2.8019049167633057,15,6876,6876,1365,5511,5488,2,21
sokoban_core/levels/boxoban/medium/train/422.txt#55,optimal_mix,True,304,0.25006794929504395,9,897,897,281,616,612,1,3
sokoban_core/levels/boxoban/medium/train/314.txt#57,optimal_mix,True,2140,1.2122218608856201,15,3840,3840,819,3021,3005,2,14
sokoban_core/levels/boxoban/medium/train/085.txt#666,optimal_mix,True,1516,0.8152740001678467,19,2400,2400,607,1793,1786,1,6
sokoban_core/levels/boxoban/medium/train/140.txt#572,optimal_mix,True,1775,1.4284040927886963,18,4623,4620,1353,3267,3246,2,19
sokoban_core/levels/boxoban/medium/train/252.txt#88,optimal_mix,True,660,0.30525684356689453,18,967,967,206,761,725,1,35
sokoban_core/levels/boxoban/medium/train/097.txt#746,optimal_mix,True,1299,0.8678460121154785,14,2275,2275,397,1878,1850,1,27
sokoban_core/levels/boxoban/medium/train/162.txt#271,optimal_mix,True,38,0.04576420783996582,7,103,103,6,97,63,2,32
sokoban_core/levels/boxoban/medium/train/351.txt#351,optimal_mix,True,11933,5.690647125244141,42,17629,17629,5370,12259,12226,2,31
sokoban_core/levels/boxoban/medium/valid/033.txt#630,optimal_mix,True,662,0.4445359706878662,15,1362,1362,250,1112,1102,2,8
sokoban_core/levels/boxoban/medium/train/199.txt#888,optimal_mix,True,4404,3.101105213165283,16,9461,9457,2911,6546,6540,2,4
sokoban_core/levels/boxoban/medium/train/343.txt#556,optimal_mix,True,45,0.056379079818725586,13,165,165,65,100,67,1,32
sokoban_core/levels/boxoban/medium/train/413.txt#158,optimal_mix,True,30584,18.290543794631958,27,42126,42126,8733,33393,33326,2,65
sokoban_core/levels/boxoban/medium/train/049.txt#270,optimal_mix,True,2405,1.5074801445007324,14,4553,4553,1229,3324,3315,2,7
sokoban_core/levels/boxoban/medium/train/167.txt#163,optimal_mix,True,5689,3.3953170776367188,18,9181,9181,1612,7569,7559,2,8
sokoban_core/levels/boxoban/medium/train/114.txt#979,optimal_mix,True,27354,21.24806499481201,18,48988,48985,8541,40444,40405,2,37
sokoban_core/levels/boxoban/medium/train/417.txt#122,optimal_mix,True,32,0.0628509521484375,6,204,204,57,147,135,1,11
sokoban_core/levels/boxoban/medium/train/119.txt#674,optimal_mix,True,1058,0.7997341156005859,20,2374,2374,626,1748,1651,3,94
sokoban_core/levels/boxoban/medium/train/197.txt#542,optimal_mix,True,119,0.19252586364746094,12,419,419,38,381,329,2,50
sokoban_core/levels/boxoban/medium/train/129.txt#98,optimal_mix,True,1783,1.1175379753112793,17,3897,3897,1277,2620,2528,2,90
sokoban_core/levels/boxoban/medium/train/089.txt#611,optimal_mix,True,60,0.049323081970214844,10,151,151,39,112,106,2,4
sokoban_core/levels/boxoban/medium/train/148.txt#183,optimal_mix,True,1742,1.0369510650634766,20,3043,3043,853,2190,2181,1,8
sokoban_core/levels/boxoban/medium/train/287.txt#331,optimal_mix,True,47,0.12763690948486328,7,183,183,40,143,107,3,33
sokoban_core/levels/boxoban/medium/train/038.txt#996,optimal_mix,True,809,0.528221845626831,17,1814,1814,546,1268,1181,2,85
sokoban_core/levels/boxoban/medium/train/041.txt#733,optimal_mix,True,1759,1.5060350894927979,17,4332,4328,1017,3311,3250,1,60
sokoban_core/levels/boxoban/medium/train/263.txt#51,optimal_mix,True,1039,1.5619971752166748,16,3442,3442,555,2887,2723,1,163
sokoban_core/levels/boxoban/medium/train/340.txt#647,optimal_mix,True,7177,8.09671401977539,20,18838,18825,3179,15646,15591,0,55
sokoban_core/levels/boxoban/medium/train/348.txt#261,optimal_mix,True,2669,1.8993451595306396,24,4441,4441,611,3830,3543,1,286
sokoban_core/levels/boxoban/medium/train/261.txt#759,optimal_mix,True,2364,1.247239351272583,16,3607,3607,730,2877,2845,2,30
sokoban_core/levels/boxoban/medium/train/008.txt#72,optimal_mix,True,2242,1.0064201354980469,21,3413,3413,1026,2387,2353,2,32
sokoban_core/levels/boxoban/medium/train/227.txt#801,optimal_mix,True,504,0.31423401832580566,12,1080,1080,336,744,736,2,6
sokoban_core/levels/boxoban/medium/valid/006.txt#794,optimal_mix,True,137,0.17740702629089355,11,376,376,35,341,303,3,35
sokoban_core/levels/boxoban/medium/train/206.txt#273,optimal_mix,True,849,0.9633128643035889,16,2756,2756,903,1853,1839,2,12
sokoban_core/levels/boxoban/medium/valid/006.txt#783,optimal_mix,True,146,0.1309821605682373,12,333,333,0,333,305,1,27
sokoban_core/levels/boxoban/medium/train/148.txt#218,optimal_mix,True,1416,1.411303997039795,15,3514,3514,718,2796,2678,3,115
sokoban_core/levels/boxoban/medium/train/398.txt#153,optimal_mix,True,692,0.3325362205505371,19,1111,1111,300,811,774,4,33
sokoban_core/levels/boxoban/medium/train/168.txt#966,optimal_mix,True,1728,1.8748779296875,15,4501,4498,780,3718,3699,1,18
sokoban_core/levels/boxoban/medium/train/059.txt#688,optimal_mix,True,2812,2.3685688972473145,18,6228,6228,1081,5147,5098,1,48
sokoban_core/levels/boxoban/medium/train/047.txt#360,optimal_mix,True,1035,0.6809689998626709,14,2331,2331,697,1634,1576,2,56
sokoban_core/levels/boxoban/medium/train/434.txt#227,optimal_mix,True,1123,0.725604772567749,11,2552,2552,705,1847,1832,1,14
sokoban_core/levels/boxoban/medium/train/277.txt#284,optimal_mix,True,45,0.044229984283447266,8,112,112,8,104,95,2,7
sokoban_core/levels/boxoban/medium/train/344.txt#475,optimal_mix,True,246,0.15000009536743164,12,532,532,150,382,379,1,2
sokoban_core/levels/boxoban/medium/train/137.txt#444,optimal_mix,True,163,0.11232328414916992,14,391,387,145,242,171,0,71
sokoban_core/levels/boxoban/medium/train/202.txt#798,optimal_mix,True,5824,4.195920944213867,16,11446,11446,2544,8902,8890,1,11
sokoban_core/levels/boxoban/medium/train/091.txt#461,optimal_mix,True,141,0.06601285934448242,20,198,198,51,147,130,2,15
sokoban_core/levels/boxoban/medium/train/388.txt#284,optimal_mix,True,4581,2.759427785873413,22,8812,8803,2375,6428,6399,3,26
sokoban_core/levels/boxoban/medium/valid/017.txt#561,optimal_mix,True,1306,0.7244038581848145,18,2351,2348,635,1713,1708,1,4
sokoban_core/levels/boxoban/medium/train/179.txt#561,optimal_mix,True,1204,0.7713627815246582,18,2336,2336,649,1687,1635,2,50
sokoban_core/levels/boxoban/medium/train/117.txt#557,optimal_mix,True,364,0.2640681266784668,10,697,697,121,576,557,1,18
sokoban_core/levels/boxoban/medium/train/179.txt#588,optimal_mix,True,5084,4.455891847610474,18,10700,10700,1985,8715,8436,3,276
sokoban_core/levels/boxoban/medium/train/371.txt#436,optimal_mix,True,1900,1.1813640594482422,14,4335,4331,1538,2793,2718,3,72
sokoban_core/levels/boxoban/medium/train/031.txt#833,optimal_mix,True,1651,0.7973120212554932,15,3019,3017,959,2058,2046,1,11
sokoban_core/levels/boxoban/medium/train/213.txt#969,optimal_mix,True,4427,2.626769781112671,18,6744,6744,929,5815,5740,1,74
sokoban_core/levels/boxoban/medium/train/069.txt#364,optimal_mix,True,1673,1.2874548435211182,18,3551,3551,409,3142,3057,3,82
sokoban_core/levels/boxoban/medium/valid/030.txt#972,optimal_mix,True,2864,1.4741458892822266,16,4795,4789,1349,3440,3394,2,44
sokoban_core/levels/boxoban/medium/train/433.txt#62,optimal_mix,True,256,0.34258604049682617,13,948,947,195,752,733,3,16
sokoban_core/levels/boxoban/medium/train/020.txt#660,optimal_mix,True,381,0.4472312927246094,10,1055,1055,150,905,872,4,29
sokoban_core/levels/boxoban/medium/train/239.txt#759,optimal_mix,True,322,0.30996108055114746,14,798,798,163,635,568,2,65
sokoban_core/levels/boxoban/medium/train/242.txt#910,optimal_mix,True,462,0.39369988441467285,9,1173,1173,320,853,845,1,7
sokoban_core/levels/boxoban/medium/train/182.txt#737,optimal_mix,True,2795,3.2059340476989746,20,8358,8358,1563,6795,6690,3,102
sokoban_core/levels/boxoban/medium/train/298.txt#595,optimal_mix,True,147,0.20931696891784668,13,545,545,109,436,407,3,26
sokoban_core/levels/boxoban/medium/train/376.txt#138,optimal_mix,True,135,0.16314291954040527,17,489,489,69,420,388,3,29
sokoban_core/levels/boxoban/medium/train/360.txt#116,optimal_mix,True,400,0.3110158443450928,14,975,975,309,666,648,2,16
sokoban_core/levels/boxoban/medium/valid/017.txt#495,optimal_mix,True,6274,3.2386679649353027,21,9921,9921,2502,7419,7358,1,60
sokoban_core/levels/boxoban/medium/train/319.txt#279,optimal_mix,True,1605,1.0959908962249756,16,3003,3003,414,2589,2572,1,16
sokoban_core/levels/boxoban/medium/train/350.txt#157,optimal_mix,True,6602,3.8556830883026123,21,11040,11040,2631,8409,8351,2,56
sokoban_core/levels/boxoban/medium/train/433.txt#854,optimal_mix,True,2377,1.4905500411987305,12,4115,4114,872,3242,3234,2,6
sokoban_core/levels/boxoban/medium/train/162.txt#856,optimal_mix,True,375,0.2537651062011719,16,682,682,57,625,524,2,99
sokoban_core/levels/boxoban/medium/train/185.txt#445,optimal_mix,True,26,0.03261995315551758,9,106,106,35,71,70,1,0
sokoban_core/levels/boxoban/medium/train/429.txt#847,optimal_mix,True,1410,1.271009922027588,13,3456,3456,819,2637,2435,3,199
sokoban_core/levels/boxoban/medium/train/384.txt#743,optimal_mix,True,409,0.21976089477539062,15,762,762,241,521,498,2,21
sokoban_core/levels/boxoban/medium/train/401.txt#523,optimal_mix,True,23996,14.846066951751709,28,37395,37390,6620,30770,30512,1,257
sokoban_core/levels/boxoban/medium/train/446.txt#791,optimal_mix,True,844,0.5983288288116455,15,1994,1994,421,1573,1555,2,16
sokoban_core/levels/boxoban/medium/train/408.txt#913,optimal_mix,True,338,0.6952428817749023,11,1983,1983,258,1725,1629,4,92
sokoban_core/levels/boxoban/medium/train/128.txt#845,optimal_mix,True,2264,0.988023042678833,22,3352,3352,814,2538,2518,2,18
sokoban_core/levels/boxoban/medium/valid/037.txt#473,optimal_mix,True,7160,3.7872560024261475,20,11618,11597,3065,8532,8479,2,51
sokoban_core/levels/boxoban/medium/train/260.txt#858,optimal_mix,True,6917,5.164135217666626,15,12926,12920,2197,10723,10664,2,57
sokoban_core/levels/boxoban/medium/train/196.txt#365,optimal_mix,True,548,0.8899011611938477,13,2000,2000,199,1801,1304,6,491
sokoban_core/levels/boxoban/medium/valid/040.txt#726,optimal_mix,True,225,0.18726277351379395,8,603,603,140,463,457,2,4
sokoban_core/levels/boxoban/medium/train/382.txt#486,optimal_mix,True,338,0.35541605949401855,16,908,908,148,760,732,3,25
sokoban_core/levels/boxoban/medium/train/167.txt#559,optimal_mix,True,3248,2.1018691062927246,13,6398,6398,1623,4775,4745,1,29
sokoban_core/levels/boxoban/medium/train/067.txt#54,optimal_mix,True,118,0.1396961212158203,13,412,412,104,308,305,1,2
sokoban_core/levels/boxoban/medium/train/376.txt#93,optimal_mix,True,1275,1.7998130321502686,13,4631,4631,701,3930,3869,2,59
sokoban_core/levels/boxoban/medium/train/217.txt#48,optimal_mix,True,4828,3.1542842388153076,18,9252,9252,2072,7180,7107,5,68
